"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"VSIG1",-6745.33934634974,4697.93188405797,-12.5630613716794,2.22120599221297e-19,4.74382963756925e-15,-3.28637933510695,"Downregulated"
"RAB27A",-3403.48794567063,3050.31275362319,-12.307278550215,5.89802769802598e-19,6.29820887733705e-15,-3.30337985525969,"Downregulated"
"ANXA10",-18684.9556027165,13143.6507246377,-12.139157626423,1.12556400736938e-18,7.66207345122912e-15,-3.31489302675202,"Downregulated"
"ADTRP",-2315.87075551783,1933.44130434783,-12.0761942635383,1.43504676709821e-18,7.66207345122912e-15,-3.31927567727064,"Downregulated"
"AKR1B10",-29052.3791171477,20232.5971014493,-11.8796878618901,3.07218323695357e-18,1.16003718498474e-14,-3.33320694330965,"Downregulated"
"SMIM5",-920.096519524618,692.189855072464,-11.8644988412911,3.25898914169052e-18,1.16003718498474e-14,-3.33429993299432,"Downregulated"
"CYP2C9",-708.778013582343,650.553416149068,-11.7284002397948,5.53754545279929e-18,1.54787759109906e-14,-3.34419866084392,"Downregulated"
"CAPN13",-430.041001697793,326.821739130435,-11.7166222613176,5.79810868979374e-18,1.54787759109906e-14,-3.34506425995077,"Downregulated"
"ABCC5",-556.74247311828,674.514009661836,-11.3051449505351,2.91946470217683e-17,6.92788973826563e-14,-3.37622374837268,"Downregulated"
"CAPN9",-1456.7337860781,981.095652173913,-11.2089092848677,4.27261828221119e-17,9.12503086531843e-14,-3.38377492243621,"Downregulated"
"FUT9",-1319.00741369553,809.058937198068,-10.9019272167512,1.44950951062675e-16,2.81428860167778e-13,-3.40855360311283,"Downregulated"
"PBLD",-2915.58030560272,2449.23260869565,-10.8784413461932,1.59217323908142e-16,2.83367032225515e-13,-3.41049341210126,"Downregulated"
"TMEM266",-240.401612903226,275.05652173913,-10.7990655925223,2.18758678746349e-16,3.4282543684716e-13,-3.41709658387111,"Downregulated"
"ADRB2",-449.853735144313,403.331884057971,-10.7810451015436,2.35141435758845e-16,3.4282543684716e-13,-3.41860587070515,"Downregulated"
"SLC41A2",-912.214346349745,1033.72753623188,-10.7751318821409,2.40782017732237e-16,3.4282543684716e-13,-3.41910195053913,"Downregulated"
"TMEM100",-736.927079796265,698.317391304348,-10.6680122311797,3.70159664790558e-16,4.94093747558247e-13,-3.42815947321789,"Downregulated"
